,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max,Temp,Wind,Speed
55,Nyimba,88,ZM,1549676133,98,-14,30,70,70,113,2
56,Tessalit,44,ML,1549676133,36,20,1,46,46,102,3
57,Cockburn Town,100,TC,1549676100,100,21,-71,76,76,70,16
58,Soe,90,EE,1549673400,95,57,26,37,37,220,14
59,East London,80,ZA,1549676134,99,-33,27,72,72,239,17
60,Gabu,0,CN,1549676134,35,34,103,34,34,190,2
61,Vulcan,64,CA,1549676134,55,50,-113,-7,-7,6,11
62,Kaitangata,64,NZ,1549676135,46,-46,169,80,80,54,3
63,Nelson Bay,20,AU,1549674000,58,-32,152,82,82,340,8
64,Kisangani,48,CD,1549676135,94,0,25,75,75,58,2
65,Yellowknife,5,CA,1549674000,74,62,-114,-22,-22,260,6
66,Cherskiy,76,RU,1549676136,83,68,161,-19,-19,324,4
67,Brae,92,GB,1549673400,87,60,-1,46,45,170,18
68,Grand Gaube,75,MU,1549674000,88,-20,57,77,77,110,3
69,Aras,0,YE,1549676136,68,14,44,38,38,69,3
70,Kasama,8,ZM,1549676136,94,-10,31,60,60,83,2
71,Saint-Philippe,40,CA,1549674660,53,45,-73,26,22,270,33
72,Punta Arenas,40,CL,1549674000,87,-53,-70,44,44,250,11
73,Longyearbyen,20,NO,1549673400,72,78,15,12,12,110,13
74,Kandrian,68,PG,1549676137,77,-6,149,82,82,329,12
75,Hilo,1,US,1549673580,54,19,-155,78,78,360,21
76,Narsaq,80,GL,1549673400,78,60,-46,14,14,70,2
77,Sao Filipe,0,CV,1549676138,99,14,-24,70,70,39,10
78,Mount Gambier,40,AU,1549674000,45,-37,140,62,62,240,23
79,Te Anau,76,NZ,1549676138,45,-45,167,71,71,339,17
80,Malangwa,44,CD,1549676138,89,-2,17,77,77,277,3
81,Cidreira,0,BR,1549676138,78,-30,-50,74,74,56,9
82,Pinerovka,76,RU,1549676139,89,51,43,20,20,161,5
83,Norman Wells,90,CA,1549674000,65,65,-126,5,5,120,11
84,Marsh Harbour,36,BS,1549676113,100,26,-77,72,72,61,10
85,Montenegro,0,BR,1549674000,83,-29,-51,78,77,110,6
86,Burnie,24,AU,1549676139,100,-41,145,58,58,236,24
87,Torbay,90,CA,1549674000,100,47,-52,28,28,170,34
88,Kizema,92,RU,1549676140,92,61,44,23,23,201,17
89,Port Elizabeth,1,US,1549673760,39,39,-74,43,40,310,16
90,Jamestown,80,AU,1549676140,82,-33,138,64,64,239,15
91,Puerto Ayora,40,EC,1549670400,74,0,-90,82,82,80,5
92,Bingol,48,TR,1549676141,93,38,40,27,27,59,2
93,Vao,88,EE,1549676141,98,59,26,35,35,238,13
94,Mayo,75,CA,1549674000,77,63,-135,3,3,20,2
95,Mayumba,64,GA,1549676141,100,-3,10,78,78,354,5
96,Nanortalik,88,GL,1549676142,100,60,-45,29,29,64,22
97,Sioux Lookout,40,CA,1549674000,76,50,-91,-5,-6,280,4
98,Bakchar,0,RU,1549676142,0,57,82,-33,-33,111,2
99,Qaanaaq,0,GL,1549676142,85,77,-69,-9,-9,95,13
100,Rassvet,90,MD,1549674000,74,47,28,30,30,60,3
101,Antofagasta,0,CL,1549674000,68,-23,-70,71,71,190,8
102,Airai,48,TL,1549676143,93,-8,125,78,78,303,1
103,Staryy Nadym,88,RU,1549676144,75,65,72,-11,-11,187,13
104,Whitianga,32,NZ,1549676144,97,-36,175,70,70,95,21
105,Beringovskiy,92,RU,1549676144,96,63,179,31,31,126,32
106,Barrow,24,AR,1549676144,72,-38,-60,57,57,45,7
107,San Vicente,40,SV,1549673400,65,13,-88,82,82,260,5
108,Hermanus,0,ZA,1549676145,100,-34,19,55,55,99,3
109,Buzdyak,76,RU,1549676145,87,54,54,13,13,241,3
110,Andover,1,US,1549673760,37,42,-71,37,33,280,21
111,Katsuura,75,JP,1549674000,60,33,134,41,40,340,4
112,Buncrana,92,GB,1549676146,99,55,-7,45,45,281,36
113,Chapais,90,CA,1549674360,63,49,-74,-5,-5,260,20
114,Samur,92,RU,1549676146,100,41,48,39,39,312,12
115,Lethem,20,GY,1549676147,60,3,-59,81,81,56,13
116,Yar-Sale,80,RU,1549676147,73,66,70,-6,-6,202,14
117,Tocopilla,88,CL,1549676147,79,-22,-70,68,68,116,1
118,Rossano,90,IT,1549673700,100,39,16,30,30,340,2
119,Lebu,0,ET,1549676147,85,8,38,41,41,47,2
120,Pteleos,40,GR,1549673400,93,39,22,41,41,250,3
121,Victoria,75,BN,1549674000,88,5,115,80,80,360,3
122,Sassandra,0,CI,1549676149,98,4,-6,81,81,179,6
123,Nalut,0,LY,1549676149,83,31,10,35,35,220,3
124,Tuatapere,92,NZ,1549676149,59,-46,167,71,71,348,19
125,Sao Joao da Barra,100,BR,1549676149,100,-21,-41,76,76,73,3
126,Vaini,0,IN,1549674000,67,15,74,59,59,50,6
127,Mar del Plata,20,AR,1549676150,40,-46,-67,65,65,270,27
128,Saint George,75,GR,1549673400,93,39,22,42,41,7,2
129,Sao Lourenco do Sul,0,BR,1549676150,72,-31,-51,75,75,75,10
130,Wenzhou,76,CN,1549676150,95,28,120,45,45,25,2
131,Santa Maria,0,BR,1549670400,83,-29,-53,77,77,90,2
132,Tuktoyaktuk,90,CA,1549674000,78,69,-133,14,14,190,13
133,Bredasdorp,32,ZA,1549674000,82,-34,20,60,60,90,2
134,Goderich,56,CA,1549676152,75,43,-81,15,15,275,23
135,Hasaki,75,JP,1549675080,100,35,140,32,32,340,11
136,Nome,90,US,1549674900,50,30,-94,42,39,20,14
137,Banda Aceh,8,ID,1549676152,73,5,95,83,83,95,2
138,Carnarvon,92,ZA,1549676153,64,-30,22,67,67,102,3
139,Pungesti,0,RO,1549674000,92,46,27,30,28,143,2
140,Mokobeng,8,BW,1549676153,80,-23,27,60,60,52,2
141,Canakkale,12,TR,1549676153,100,40,26,39,39,37,11
142,Tasiilaq,20,GL,1549676153,100,65,-37,9,9,23,7
143,Madimba,40,CM,1549674000,100,4,9,78,78,184,4
144,Sistranda,75,NO,1549673400,64,63,8,37,37,110,21
145,Mopti,44,ML,1549670400,18,14,-4,71,71,360,4
146,Chuy,44,UY,1549676155,72,-33,-53,79,79,32,3
147,Guerrero Negro,20,MX,1549676155,85,27,-114,55,55,281,10
148,Imbituba,40,BR,1549674000,78,-28,-48,78,78,30,5
149,Ponta do Sol,8,BR,1549676155,93,-20,-46,61,61,98,5
150,Carupano,88,VE,1549676155,90,10,-63,77,77,76,13
151,Port Alfred,92,ZA,1549676155,95,-33,26,70,70,251,8
152,Riohacha,0,CO,1549674000,74,11,-72,78,78,80,6
153,Baiyin,90,CN,1549674000,66,36,104,15,15,80,6
154,Egvekinot,80,RU,1549676156,78,66,-179,5,5,47,2
155,Palmer,75,AU,1549675380,52,-34,139,69,69,200,21
156,Harrisonburg,1,US,1549674900,34,38,-78,46,38,260,12
157,Ruston,90,US,1549674900,70,32,-92,34,33,38,7
158,Naze,0,NG,1549676157,86,5,7,64,64,176,1
159,Saint-Pierre,92,FR,1549674000,93,48,4,50,48,220,33
160,Juneau,20,US,1549675080,92,58,-134,26,26,70,3
161,Deqing,75,CN,1549674000,93,30,119,37,37,30,11
162,Bluff,0,AU,1549676158,42,-23,149,94,94,128,6
163,Sinegorye,36,RU,1549676159,67,62,150,-17,-17,9,2
164,Saskylakh,24,RU,1549676159,67,71,114,-14,-14,286,18
165,Russkaya Polyana,80,RU,1549676159,69,53,73,-15,-15,137,13
166,Katangli,0,RU,1549676159,100,51,143,0,0,283,16
167,Ca Mau,12,VN,1549676159,80,9,105,82,82,96,7
168,Okhotsk,44,RU,1549676160,82,59,143,5,5,350,7
169,Kiunga,24,PG,1549676160,59,-6,141,91,91,275,4
170,Sambava,24,MG,1549676160,100,-14,50,77,77,222,3
171,Riyadh,20,SA,1549674000,26,24,46,59,59,160,5
172,Margate,75,AU,1549674000,44,-43,147,60,60,210,11
173,Umm Kaddadah,8,SD,1549676161,33,13,26,65,65,37,11
174,Nouadhibou,92,MR,1549674000,45,20,-17,68,68,40,11
175,Nacala,48,MZ,1549676161,100,-14,40,79,79,248,4
176,Waipawa,0,NZ,1549676162,47,-39,176,73,73,42,14
177,Zalantun,0,CN,1549676162,34,48,122,9,9,328,7
178,Necochea,24,AR,1549676162,95,-38,-58,54,54,65,5
179,Hualmay,0,PE,1549676162,91,-11,-77,70,70,149,4
180,Chippewa Falls,1,US,1549674900,69,44,-91,-4,-6,250,6
181,Xinzhou,44,CN,1549676163,60,38,112,18,18,54,3
182,Maturin,24,VE,1549676163,66,9,-63,78,78,56,5
183,Constitucion,75,MX,1549673460,15,23,-104,69,69,210,10
184,Thompson,5,CA,1549674000,76,55,-97,-7,-7,270,8
185,Valparaiso,1,US,1549674900,73,41,-87,15,12,270,16
186,Noshiro,75,JP,1549674000,85,40,140,24,23,304,14
187,Aklavik,75,CA,1549674000,73,68,-135,23,18,180,12
188,Inhambane,24,MZ,1549676164,100,-23,35,74,74,75,8
189,Nishihara,75,JP,1549674960,84,35,139,33,31,350,5
190,Coahuayana,56,MX,1549676165,61,18,-100,66,66,334,1
191,Basco,1,US,1549674900,78,40,-91,13,11,340,3
192,Padang,20,ID,1549674000,88,0,100,78,78,160,1
193,Kameshkovo,92,RU,1549676166,88,56,41,21,21,223,13
194,Huarmey,80,PE,1549676166,77,-10,-78,70,70,147,3
195,Dicabisagan,88,PH,1549676166,100,17,122,74,74,92,4
196,Sarangani,0,PH,1549676166,95,5,125,81,81,68,10
197,Kudahuvadhoo,44,MV,1549676166,100,2,72,79,79,219,1
198,Pionerskiy,68,RU,1549676167,73,61,62,-6,-6,139,2
199,Ipojuca,20,BR,1549674000,78,-8,-35,80,80,120,5
200,Sochaczew,36,PL,1549674000,86,52,20,32,31,160,8
201,Fereydun Kenar,90,IR,1549674000,93,36,52,50,50,200,3
202,Bereda,92,ES,1549674000,93,43,-7,51,51,210,6
203,Pisco,75,PE,1549674000,83,-13,-76,77,77,210,14
204,Mercedes,24,UY,1549676168,94,-33,-58,69,69,131,3
205,Khatanga,20,RU,1549676168,72,71,102,-16,-16,212,12
206,Rocha,0,UY,1549676168,91,-34,-54,70,70,190,4
207,The Valley,20,AI,1549674000,78,18,-63,77,77,50,9
208,Geraldton,75,CA,1549674000,70,49,-86,-2,-2,290,11
209,Bathsheba,40,BB,1549674000,69,13,-59,77,77,80,12
210,Trinidad,24,UY,1549676169,84,-33,-56,70,70,157,3
211,Portland,90,US,1549675020,72,45,-122,39,36,200,5
212,Isangel,20,VU,1549676170,100,-19,169,81,81,135,10
213,Hearst,64,CA,1549676170,55,49,-83,0,0,305,11
214,Upernavik,64,GL,1549676170,100,72,-56,4,4,349,3
215,Saint-Francois,44,FR,1549674000,87,46,3,46,46,180,9
216,Vostok,36,RU,1549676170,46,46,135,-2,-2,275,3
217,Codo,36,ID,1549676171,93,-8,112,80,80,270,6
218,Numan,0,NG,1549676171,65,9,12,63,63,30,4
219,Hobyo,88,SO,1549676171,78,5,48,77,77,54,18
220,Monterey,90,US,1549674900,86,36,-121,48,47,90,9
221,Richards Bay,80,ZA,1549676172,86,-28,32,74,74,348,2
222,Fort-Shevchenko,8,KZ,1549676172,100,44,50,27,27,41,14
223,Ust-Ilimsk,48,RU,1549676172,81,57,102,-18,-18,218,3
224,San Nicolas,100,HN,1549676172,94,14,-88,67,67,7,2
225,Muros,90,ES,1549674000,93,42,-9,50,50,220,10
226,Coquimbo,75,CL,1549674000,88,-29,-71,62,62,290,4
227,Ostersund,92,SE,1549675200,92,63,14,17,17,110,12
228,Lakes Entrance,92,AU,1549676173,100,-37,147,60,60,252,21
229,Kahului,40,US,1549674540,58,20,-156,80,76,360,17
230,Esperance,20,TT,1549674000,73,10,-61,77,77,80,6
231,Marawi,32,PH,1549676173,51,8,124,83,83,341,2
232,Nuuk,0,GL,1549673400,66,64,-51,14,14,110,13
233,Marathon,36,CA,1549676174,62,48,-86,4,4,318,15
234,Komsomolskiy,76,RU,1549676174,61,67,63,-13,-13,173,10
235,Baft,68,IR,1549676174,53,29,56,20,20,150,2
236,Kieta,44,PG,1549676175,82,-6,155,86,86,321,18
237,Saint-Esteve,20,FR,1549674000,93,42,2,42,42,250,4
238,Mareeba,40,AU,1549674000,88,-16,145,80,80,170,8
239,Primorsk,80,RU,1549676175,95,60,28,34,34,243,15
240,Talnakh,56,RU,1549676175,73,69,88,-10,-10,178,19
241,Anadyr,75,RU,1549674000,92,64,177,23,23,100,40
242,Belaya Gora,36,RU,1549676176,73,68,146,-16,-16,270,9
243,Faya,0,SA,1549674000,41,18,42,59,56,200,5
244,Maribor,0,SI,1549674000,92,46,15,26,25,100,1
245,Ulladulla,0,AU,1549674000,42,-35,150,82,82,310,17
246,Labuhan,48,ID,1549676177,81,-2,115,83,83,337,2
247,Sovetskiy,88,RU,1549676177,86,56,48,18,18,208,8
248,Bloomington,1,US,1549674900,69,40,-88,14,12,280,11
249,Port Hardy,75,CA,1549674000,31,50,-127,35,35,40,28
250,Tacuarembo,8,UY,1549675926,58,-31,-55,77,77,49,7
251,Namuac,12,PH,1549676177,88,18,121,78,78,118,10
252,Dambulla,92,LK,1549676178,100,7,80,73,73,349,2
253,Tomatlan,0,MX,1549676178,87,19,-105,67,67,187,2
254,Ginda,20,IN,1549674000,87,30,78,46,46,20,3
255,Djambala,44,CG,1549676178,98,-2,14,69,69,248,8
256,Srednekolymsk,56,RU,1549676178,79,67,153,-18,-18,277,2
257,Hithadhoo,88,MV,1549676179,97,0,73,84,84,184,12
258,Nyrob,56,RU,1549676179,69,60,56,1,1,215,3
259,Sorong,64,ID,1549676179,100,0,131,81,81,353,8
260,Sal Rei,0,CV,1549674000,82,16,-22,68,68,30,6
261,Burdur,75,TR,1549673400,100,37,30,37,35,360,3
262,Abashiri,20,JP,1549674000,54,44,144,1,1,110,3
263,Iwanai,64,JP,1549676180,100,42,140,21,21,283,15
264,Illapel,0,CL,1549676133,94,-31,-71,62,62,196,2
265,Mehamn,0,NO,1549676180,100,71,27,-4,-4,202,4
266,Xai-Xai,32,MZ,1549676180,100,-25,33,75,75,33,11
267,Patiya,75,BD,1549674000,64,22,91,71,71,360,11
268,Broome,56,GB,1549673760,81,52,1,44,44,230,18
269,Ambilobe,80,MG,1549676181,99,-13,49,72,72,276,3
270,Maniitsoq,8,GL,1549676181,84,65,-52,2,2,84,7
271,Salalah,40,OM,1549673400,53,17,54,73,73,50,5
272,Papara,0,BR,1549674000,78,-3,-38,82,82,90,9
273,San Jeronimo,36,PE,1549676182,98,-13,-73,41,41,261,2
274,Saint-Augustin,90,FR,1549674000,71,44,0,53,53,220,12
275,Rocky Mountain House,56,CA,1549676001,58,52,-114,-8,-8,7,6
276,Gisborne,100,NZ,1549675931,79,-38,178,65,65,78,11
277,Kamenka,0,RU,1549676183,71,53,44,11,11,223,7
278,Mitsamiouli,64,KM,1549676183,96,-11,43,82,82,336,11
279,Ahipara,56,NZ,1549676183,70,-35,173,74,74,89,15
280,San Patricio,0,PY,1549676183,66,-26,-56,76,76,81,2
281,Ternate,20,PH,1549674000,61,14,120,80,80,340,2
282,Bestobe,76,KZ,1549676184,26,52,73,-17,-17,110,4
283,Ostrovnoy,80,RU,1549676184,87,68,39,12,12,166,10
284,Oistins,40,BB,1549674000,69,13,-59,77,77,80,12
285,Chernyshevskiy,36,RU,1549676185,71,63,112,-10,-10,304,4
286,Pacific Grove,90,US,1549674900,86,36,-121,48,47,90,9
287,Dingle,0,PH,1549676185,60,11,122,84,84,52,14
288,Nantucket,1,US,1549673760,64,41,-70,42,41,270,20
289,Cururupu,92,BR,1549676185,98,-1,-44,76,76,57,3
290,Jackson,1,US,1549674900,63,35,-88,30,28,10,13
291,San Juan,20,PH,1549674000,61,14,121,80,80,340,2
292,Kutum,0,SD,1549676186,51,14,24,58,58,82,5
293,Tual,8,ID,1549676134,100,-5,132,79,79,291,12
294,Coxim,32,BR,1549676187,92,-18,-54,72,72,126,6
295,Yanzhou,88,CN,1549676187,60,35,116,29,29,35,6
296,Tabuk,0,PH,1549676187,56,17,121,77,77,95,2
297,Tezu,92,IN,1549676187,100,27,96,51,51,62,1
298,Pevek,88,RU,1549676188,86,69,170,-9,-9,0,8
299,Auki,0,NG,1549676188,33,12,6,57,57,72,10
300,Nadym,88,RU,1549676188,75,65,72,-11,-11,187,13
301,Cervo,0,BR,1549676188,92,-22,-46,62,62,62,4
302,Port-Gentil,68,GA,1549676189,100,0,8,77,77,93,4
303,Midland,48,US,1549674900,45,32,-102,34,32,100,10
304,Sitka,0,US,1549676189,67,37,-99,21,21,159,17
305,Sao Jose da Coroa Grande,88,BR,1549676189,97,-8,-35,73,73,130,3
306,Teresina,0,BR,1549674000,88,-5,-42,78,78,350,5
307,Portobelo,20,PA,1549674000,65,9,-79,80,80,340,16
308,Port Lincoln,0,AU,1549676190,83,-34,135,68,68,211,18
309,Puerto Colombia,20,CO,1549674000,74,10,-74,78,78,350,14
310,Nizhniy Baskunchak,0,RU,1549676190,78,48,46,11,11,65,9
311,Vila Velha,0,BR,1549674000,78,-3,-38,82,82,90,9
312,Aku,8,NG,1549676191,66,7,7,65,65,86,3
313,Koshurnikovo,0,RU,1549676191,0,54,93,-27,-27,95,2
314,Ballina,76,IE,1549676191,89,54,-9,45,45,280,30
315,Awjilah,0,LY,1549676191,85,29,21,44,44,308,5
316,Dori,0,BF,1549676192,31,14,0,58,58,42,9
317,Meulaboh,44,ID,1549676192,100,4,96,79,79,163,3
318,Howard Springs,20,AU,1549674000,66,-12,131,89,89,290,14
319,Adrar,0,DZ,1549674000,39,27,0,50,50,60,6
320,Lamar,1,US,1549673580,35,38,-102,37,37,180,18
321,Quimper,40,FR,1549674000,81,48,-4,50,48,270,17
322,Shanhetun,24,CN,1549676193,56,44,127,6,6,255,6
323,Banjar,80,ID,1549676193,91,-7,108,77,77,166,3
324,Santa Cruz,90,US,1549674900,93,36,-122,48,47,170,3
325,Leon,1,US,1549674900,66,40,-93,10,8,177,6
326,Ishigaki,40,JP,1549674000,78,24,124,71,71,30,12
327,Deputatskiy,48,RU,1549676195,73,69,139,-7,-7,297,10
328,Medvezhyegorsk,88,RU,1549676195,88,62,34,32,32,215,9
329,Pangody,80,RU,1549676195,78,65,74,-11,-11,194,16
330,Fortuna,0,ES,1549674000,87,38,-1,46,45,250,6
331,Barra Velha,40,BR,1549674000,78,-26,-48,78,77,40,6
332,Filadelfia,8,PY,1549676196,65,-22,-60,83,83,85,7
333,Ambon,20,FR,1549674000,87,47,-2,50,48,250,9
334,Presidente Epitacio,68,BR,1549676197,46,-21,-52,86,86,116,7
335,The Pas,1,CA,1549674000,69,53,-101,-7,-7,250,4
336,Show Low,1,US,1549674900,28,34,-110,46,43,210,12
337,Sola,75,NO,1549675200,87,58,5,44,44,160,18
338,Siavonga,76,ZW,1549676197,93,-16,28,69,69,59,5
339,Riachao,24,BR,1549676198,96,-7,-46,70,70,17,2
340,Boralday,90,KZ,1549674000,84,43,76,1,1,230,4
341,Vardo,1,US,1549674900,39,39,-77,37,34,300,20
342,Akdepe,90,TM,1549674000,91,42,59,42,41,220,6
343,Severo-Kurilsk,48,RU,1549676198,100,50,156,22,22,249,28
344,Clyde River,1,CA,1549674000,75,70,-68,-20,-20,250,10
345,Donskoye,90,RU,1549674000,92,45,41,28,28,110,15
346,Kayan,0,MM,1549674000,88,16,96,71,71,230,2
347,Aviles,75,ES,1549674000,54,43,-5,57,57,250,12
348,Gat,0,SN,1549674000,23,14,-16,73,73,40,9
349,Kenai,75,US,1549673760,92,60,-151,30,29,18,3
350,Port-Cartier,90,CA,1549674720,100,50,-66,24,24,190,3
351,San Cristobal,90,EC,1549674000,87,0,-78,59,58,20,6
352,Paamiut,76,GL,1549676200,100,61,-49,24,24,351,14
353,Beitbridge,0,ZA,1549676201,89,-22,29,62,62,307,1
354,Muzhi,80,RU,1549676201,64,65,64,-7,-7,186,6
355,Souillac,36,FR,1549674000,87,45,0,50,50,230,17
356,Vung Tau,56,VN,1549676202,93,10,107,79,79,104,13
357,Ogaminana,12,NG,1549676202,62,7,6,63,63,349,3
358,Caravelas,88,BR,1549676202,100,-17,-39,81,81,48,14
359,Oranjemund,88,ZA,1549676202,94,-28,16,63,63,159,6
360,Tinskoy,24,RU,1549676203,38,56,96,-24,-24,61,2
361,Tura,36,IN,1549676203,96,25,90,64,64,73,2
362,Cap Malheureux,75,MU,1549674000,88,-19,57,77,77,110,3
363,Taoudenni,0,ML,1549676203,28,22,-3,49,49,59,10
364,Noyon,75,FR,1549674000,81,49,3,46,46,240,18
365,Ivolginsk,20,RU,1549674000,66,51,107,-31,-31,310,2
366,Hofgeismar,75,DE,1549673400,65,51,9,46,45,180,18
367,Lagos,0,NG,1549676029,95,6,3,76,76,238,3
368,Flinders,0,AU,1549674000,42,-34,150,82,82,310,17
369,Khash,0,IR,1549676205,59,28,61,20,20,125,2
370,Manga,0,BF,1549676205,30,11,-1,63,63,45,8
371,Batangafo,0,CF,1549676205,28,7,18,66,66,319,10
372,Sabha,0,LY,1549676205,80,27,14,34,34,286,2
373,Itamarandiba,76,BR,1549676205,91,-17,-42,70,70,120,3
374,Fare,56,PF,1549676206,100,-16,-151,82,82,88,14
375,Sorland,48,NO,1549676206,100,67,12,34,34,60,14
376,Araouane,68,ML,1549676206,29,18,-3,58,58,44,10
377,Corpus Christi,90,US,1549674900,59,27,-97,43,41,10,12
378,Douglas,20,US,1549675080,92,58,-134,26,26,70,3
379,Rundu,56,NA,1549676207,93,-17,19,68,68,96,5
380,Mayor Pablo Lagerenza,0,PY,1549676207,63,-19,-60,84,84,27,9
381,Gewane,0,ET,1549676207,93,10,40,59,59,57,2
382,Eureka,1,US,1549673700,61,40,-124,51,50,340,11
383,Capim Grosso,44,BR,1549676208,54,-11,-40,80,80,85,10
384,Kavaratti,0,IN,1549676208,100,10,72,82,82,5,15
385,Mansa,0,IN,1549674000,45,23,72,46,46,10,2
386,Marmora,0,IT,1549676208,69,44,7,6,6,258,2
387,Maragogi,88,BR,1549676209,97,-9,-35,73,73,130,3
388,Diplo,0,PK,1549676209,85,24,69,42,42,21,4
389,Evensk,0,RU,1549676209,100,61,159,1,1,6,13
390,Nador,0,MA,1549674000,71,35,-2,55,49,260,5
391,Rome,0,IT,1549673700,87,41,12,42,41,100,4
392,Ankang,92,CN,1549676210,70,32,108,32,32,81,2
393,Manoel Urbano,8,BR,1549676210,95,-8,-69,75,75,2,2
394,Monster,75,NL,1549673940,81,52,4,48,47,210,16
395,Arona,0,IT,1549673400,86,45,8,33,32,10,6
396,Eyl,92,SO,1549676210,100,7,49,74,74,47,15
397,Sibolga,80,ID,1549676211,98,1,98,73,73,192,1
398,Trincomalee,48,LK,1549676211,95,8,81,79,79,84,4
399,Ust-Koksa,0,RU,1549676211,27,50,85,-22,-22,169,3
400,Yeppoon,40,AU,1549674000,52,-23,150,87,87,80,9
401,Gaya,90,IN,1549674000,100,24,85,59,59,110,6
402,Hamilton,40,BM,1549673700,88,32,-64,64,64,210,3
403,Bemidji,1,US,1549674900,76,47,-94,-13,-19,300,4
404,Taiobeiras,64,BR,1549676212,99,-15,-42,66,66,178,3
405,Abay,0,KZ,1549674000,64,49,72,-4,-4,190,17
406,Voh,48,NC,1549676213,89,-20,164,83,83,121,9
407,Sosnovka,36,RU,1549676213,83,53,41,17,17,210,8
408,Hofn,68,IS,1549676213,100,64,-15,37,37,24,30
409,Atar,12,MR,1549676214,24,20,-13,59,59,68,8
410,Nabire,32,ID,1549676214,83,-3,135,79,79,331,2
411,Bambanglipuro,20,ID,1549676214,90,-7,110,81,81,241,4
412,Nago,75,IT,1549673700,85,45,10,35,31,220,6
413,Jacareacanga,88,BR,1549676214,98,-6,-57,73,73,75,2
414,Westport,24,IE,1549676215,92,53,-9,45,45,282,30
415,High Level,5,CA,1549674000,68,58,-117,-16,-16,350,5
416,Sungairaya,64,ID,1549676215,75,0,108,85,85,63,3
417,Puerto Baquerizo Moreno,40,EC,1549670400,83,0,-89,80,80,360,4
